time_step,chosen_arm,reward,cumulative_rewards,current_alpha,current_beta,arm_pulls
397,177,1,184,1.0,0.5,0
398,386,0,184,1.0,0.5,0
399,541,1,185,1.0,0.5,0
400,607,1,186,1.0,0.5,0
401,168,1,187,1.0,0.5,0
404,349,1,188,1.0,0.5,0
406,87,1,189,1.0,0.5,0
408,118,1,190,0.25,0.5,3
409,153,1,191,1.0,0.5,0
410,400,0,191,1.0,0.5,0
412,606,1,192,1.0,0.5,0
413,15,1,193,1.0,0.5,0
414,143,1,194,1.0,0.5,0
415,288,1,195,1.0,0.5,0
416,445,1,196,1.0,0.5,0
417,455,1,197,1.0,0.5,0
418,176,0,197,0.5,0.5,1
419,13,1,198,0.3333333333333333,0.5,2
421,254,0,198,1.0,0.5,0
424,555,1,199,1.0,0.5,0
425,53,1,200,1.0,0.5,0
427,360,1,201,1.0,0.5,0
428,0,1,202,1.0,0.5,0
432,711,1,203,1.0,0.5,0
436,99,0,203,0.5,0.5,1
437,487,1,204,1.0,0.5,0
439,174,1,205,0.5,0.5,1
440,197,0,205,1.0,0.5,0
441,236,0,205,1.0,0.5,0
444,120,1,206,0.5,0.5,1
445,300,1,207,0.5,0.5,1
446,420,1,208,0.5,0.5,1
449,17,1,209,0.5,0.5,1
450,357,1,210,1.0,0.5,0
452,190,1,211,1.0,0.5,0
453,253,0,211,1.0,0.5,0
456,171,1,212,0.5,0.5,1
458,136,1,213,1.0,0.5,0
460,800,1,214,0.5,0.5,1
463,420,1,215,0.3333333333333333,0.5,2
464,226,1,216,0.5,0.5,1
465,371,1,217,0.5,0.5,1
466,381,1,218,1.0,0.5,0
467,415,1,219,1.0,0.5,0
469,322,1,220,1.0,0.5,0
470,43,1,221,1.0,0.5,0
475,118,1,222,0.2,0.5,4
476,167,1,223,1.0,0.5,0
477,264,0,223,1.0,0.5,0
478,209,1,224,0.25,0.5,3
479,426,1,225,0.3333333333333333,0.5,2
480,165,1,226,1.0,0.5,0
481,604,1,227,1.0,0.5,0
483,628,1,228,1.0,0.5,0
486,148,1,229,1.0,0.5,0
488,154,1,230,0.5,0.5,1
489,180,1,231,1.0,0.5,0
492,359,0,231,1.0,0.5,0
493,130,1,232,1.0,0.5,0
494,68,1,233,0.5,0.5,1
495,164,0,233,1.0,0.5,0
496,308,0,233,0.5,0.5,1
498,333,0,233,1.0,0.5,0
500,688,1,234,0.5,0.5,1
501,698,0,234,1.0,0.5,0
502,209,1,235,0.2,0.5,4
503,339,1,236,1.0,0.5,0
504,156,0,236,0.5,0.5,1
505,22,1,237,0.5,0.5,1
506,704,1,238,0.5,0.5,1
507,720,1,239,1.0,0.5,0
515,315,1,240,1.0,0.5,0
516,124,1,241,1.0,0.5,0
517,377,1,242,0.2,0.5,4
518,737,1,243,1.0,0.5,0
521,6,1,244,1.0,0.5,0
522,51,1,245,1.0,0.5,0
524,627,0,245,1.0,0.5,0
525,797,1,246,1.0,0.5,0
526,391,1,247,1.0,0.5,0
527,715,1,248,1.0,0.5,0
529,518,1,249,0.5,0.5,1
531,241,1,250,0.5,0.5,1
533,22,1,251,0.3333333333333333,0.5,2
534,64,1,252,0.5,0.5,1
535,340,1,253,0.5,0.5,1
536,202,0,253,0.3333333333333333,0.5,2
537,161,1,254,0.3333333333333333,0.5,2
538,448,1,255,0.3333333333333333,0.5,2
540,30,1,256,0.5,0.5,1
545,630,1,257,1.0,0.5,0
547,105,1,258,1.0,0.5,0
549,10,1,259,0.5,0.5,1
551,275,1,260,1.0,0.5,0
553,516,1,261,1.0,0.5,0
554,277,1,262,0.5,0.5,1
555,424,1,263,0.5,0.5,1
560,656,1,264,1.0,0.5,0
561,626,1,265,1.0,0.5,0
562,19,0,265,1.0,0.5,0
563,694,1,266,1.0,0.5,0
564,628,1,267,0.5,0.5,1
566,782,1,268,0.5,0.5,1
567,480,1,269,0.5,0.5,1
570,220,1,270,1.0,0.5,0
571,5,1,271,0.5,0.5,1
574,353,1,272,1.0,0.5,0
575,214,0,272,0.5,0.5,1
578,161,1,273,0.25,0.5,3
579,297,0,273,1.0,0.5,0
580,295,0,273,0.25,0.5,3
581,180,1,274,0.5,0.5,1
584,90,1,275,0.5,0.5,1
585,161,1,276,0.2,0.5,4
586,305,1,277,0.5,0.5,1
588,63,1,278,1.0,0.5,0
591,222,1,279,0.5,0.5,1
594,418,1,280,1.0,0.5,0
595,215,1,281,1.0,0.5,0
596,23,1,282,0.3333333333333333,0.5,2
597,541,1,283,0.5,0.5,1
599,64,1,284,0.3333333333333333,0.5,2
602,669,1,285,1.0,0.5,0
603,264,1,286,0.5,0.5,1
604,634,0,286,1.0,0.5,0
605,20,1,287,0.3333333333333333,0.5,2
606,476,1,288,1.0,0.5,0
607,339,1,289,0.5,0.5,1
608,268,1,290,1.0,0.5,0
610,290,1,291,0.5,0.5,1
613,202,1,292,0.25,0.5,3
614,111,0,292,0.5,0.5,1
618,11,1,293,1.0,0.5,0
619,511,1,294,1.0,0.5,0
621,329,1,295,1.0,0.5,0
623,111,1,296,0.3333333333333333,0.5,2
627,625,0,296,1.0,0.5,0
628,567,1,297,1.0,0.5,0
629,571,1,298,1.0,0.5,0
632,76,1,299,0.5,0.5,1
633,542,1,300,1.0,0.5,0
634,360,1,301,0.5,0.5,1
635,602,1,302,0.5,0.5,1
636,524,1,303,1.0,0.5,0
637,205,0,303,1.0,0.5,0
638,112,1,304,1.0,0.5,0
639,382,1,305,1.0,0.5,0
641,168,1,306,0.5,0.5,1
643,695,1,307,1.0,0.5,0
645,151,1,308,1.0,0.5,0
648,42,1,309,1.0,0.5,0
649,105,1,310,0.5,0.5,1
651,600,1,311,1.0,0.5,0
652,22,1,312,0.25,0.5,3
654,86,1,313,0.2,0.5,4
655,295,1,314,0.2,0.5,4
656,510,1,315,1.0,0.5,0
657,267,1,316,1.0,0.5,0
658,276,1,317,0.5,0.5,1
659,133,1,318,0.3333333333333333,0.5,2
660,278,1,319,0.5,0.5,1
661,71,1,320,1.0,0.5,0
663,300,1,321,0.3333333333333333,0.5,2
664,22,1,322,0.2,0.5,4
665,128,1,323,1.0,0.5,0
666,834,1,324,1.0,0.5,0
667,358,1,325,0.25,0.5,3
669,197,0,325,0.5,0.5,1
670,48,1,326,1.0,0.5,0
671,533,1,327,1.0,0.5,0
673,455,1,328,0.5,0.5,1
677,8,1,329,0.5,0.5,1
679,57,1,330,0.3333333333333333,0.5,2
681,449,1,331,1.0,0.5,0
684,247,1,332,1.0,0.5,0
685,625,1,333,0.5,0.5,1
688,674,1,334,1.0,0.5,0
689,782,1,335,0.3333333333333333,0.5,2
690,571,0,335,0.5,0.5,1
693,161,1,336,0.16666666666666666,0.5,5
697,17,1,337,0.3333333333333333,0.5,2
699,779,1,338,1.0,0.5,0
700,105,1,339,0.3333333333333333,0.5,2
701,269,1,340,0.5,0.5,1
703,71,1,341,0.5,0.5,1
704,104,1,342,1.0,0.5,0
705,655,0,342,1.0,0.5,0
707,37,1,343,1.0,0.5,0
709,587,1,344,1.0,0.5,0
710,18,1,345,0.5,0.5,1
712,72,1,346,1.0,0.5,0
713,225,1,347,0.5,0.5,1
715,617,1,348,1.0,0.5,0
716,567,1,349,0.5,0.5,1
717,45,1,350,1.0,0.5,0
718,695,1,351,0.5,0.5,1
719,263,1,352,0.5,0.5,1
720,225,1,353,0.3333333333333333,0.5,2
721,210,1,354,1.0,0.5,0
723,152,1,355,0.3333333333333333,0.5,2
724,446,1,356,1.0,0.5,0
726,566,1,357,1.0,0.5,0
727,652,1,358,1.0,0.5,0
728,567,1,359,0.3333333333333333,0.5,2
730,782,1,360,0.25,0.5,3
731,383,1,361,1.0,0.5,0
732,44,0,361,1.0,0.5,0
733,414,1,362,0.5,0.5,1
735,589,0,362,1.0,0.5,0
738,170,1,363,1.0,0.5,0
740,290,1,364,0.3333333333333333,0.5,2
743,291,1,365,1.0,0.5,0
744,427,1,366,1.0,0.5,0
745,554,1,367,0.5,0.5,1
746,73,1,368,0.5,0.5,1
749,152,1,369,0.25,0.5,3
750,55,1,370,0.5,0.5,1
751,565,1,371,1.0,0.5,0
752,90,1,372,0.3333333333333333,0.5,2
753,278,1,373,0.3333333333333333,0.5,2
754,276,1,374,0.3333333333333333,0.5,2
756,595,0,374,1.0,0.5,0
757,322,1,375,0.5,0.5,1
759,159,0,375,1.0,0.5,0
760,105,1,376,0.25,0.5,3
761,483,0,376,1.0,0.5,0
762,358,1,377,0.2,0.5,4
765,388,1,378,0.5,0.5,1
767,241,1,379,0.3333333333333333,0.5,2
768,22,1,380,0.16666666666666666,0.5,5
769,345,0,380,0.5,0.5,1
772,247,1,381,0.5,0.5,1
773,48,1,382,0.5,0.5,1
774,105,1,383,0.2,0.5,4
776,343,1,384,1.0,0.5,0
777,20,1,385,0.25,0.5,3
779,125,1,386,1.0,0.5,0
780,269,1,387,0.3333333333333333,0.5,2
782,688,1,388,0.3333333333333333,0.5,2
783,41,0,388,1.0,0.5,0
787,636,1,389,1.0,0.5,0
789,82,1,390,1.0,0.5,0
792,113,1,391,1.0,0.5,0
794,132,1,392,1.0,0.5,0
795,180,1,393,0.3333333333333333,0.5,2
797,300,1,394,0.25,0.5,3
800,295,1,395,0.16666666666666666,0.5,5
802,512,1,396,1.0,0.5,0
803,183,1,397,1.0,0.5,0
804,43,1,398,0.5,0.5,1
805,63,1,399,0.5,0.5,1
806,170,1,400,0.5,0.5,1
807,294,1,401,0.5,0.5,1
810,784,0,401,1.0,0.5,0
812,721,1,402,1.0,0.5,0
813,403,1,403,1.0,0.5,0
814,106,0,403,1.0,0.5,0
818,536,1,404,0.5,0.5,1
819,833,1,405,1.0,0.5,0
820,322,1,406,0.3333333333333333,0.5,2
821,415,0,406,0.5,0.5,1
822,284,1,407,1.0,0.5,0
823,275,0,407,0.5,0.5,1
824,633,1,408,0.5,0.5,1
825,388,1,409,0.3333333333333333,0.5,2
826,455,0,409,0.3333333333333333,0.5,2
828,390,1,410,1.0,0.5,0
831,202,1,411,0.2,0.5,4
832,738,1,412,1.0,0.5,0
833,88,1,413,0.5,0.5,1
837,196,1,414,0.5,0.5,1
838,290,1,415,0.25,0.5,3
840,365,0,415,1.0,0.5,0
841,155,1,416,0.5,0.5,1
842,76,1,417,0.3333333333333333,0.5,2
843,41,1,418,0.5,0.5,1
844,304,1,419,0.5,0.5,1
845,756,0,419,1.0,0.5,0
846,207,1,420,1.0,0.5,0
847,183,1,421,0.5,0.5,1
848,161,1,422,0.14285714285714285,0.5,6
849,225,1,423,0.25,0.5,3
850,188,0,423,0.5,0.5,1
854,799,1,424,1.0,0.5,0
858,373,1,425,1.0,0.5,0
859,188,1,426,0.3333333333333333,0.5,2
862,628,0,426,0.3333333333333333,0.5,2
866,158,1,427,0.5,0.5,1
867,98,0,427,1.0,0.5,0
868,773,1,428,0.5,0.5,1
870,7,1,429,1.0,0.5,0
871,494,1,430,0.5,0.5,1
872,208,1,431,1.0,0.5,0
873,256,1,432,0.5,0.5,1
875,354,0,432,1.0,0.5,0
876,724,1,433,1.0,0.5,0
877,135,0,433,1.0,0.5,0
878,542,0,433,0.5,0.5,1
880,57,1,434,0.25,0.5,3
881,486,1,435,0.5,0.5,1
882,49,1,436,1.0,0.5,0
884,350,1,437,1.0,0.5,0
886,417,1,438,1.0,0.5,0
887,412,0,438,1.0,0.5,0
888,642,1,439,1.0,0.5,0
889,49,1,440,0.5,0.5,1
890,627,1,441,0.5,0.5,1
891,6,1,442,0.5,0.5,1
892,182,1,443,0.5,0.5,1
894,49,1,444,0.3333333333333333,0.5,2
896,628,1,445,0.25,0.5,3
897,551,1,446,1.0,0.5,0
898,11,1,447,0.5,0.5,1
899,102,1,448,0.3333333333333333,0.5,2
901,316,1,449,0.5,0.5,1
904,262,1,450,1.0,0.5,0
905,79,1,451,1.0,0.5,0
908,186,1,452,0.5,0.5,1
909,640,0,452,0.5,0.5,1
910,196,1,453,0.3333333333333333,0.5,2
911,174,1,454,0.3333333333333333,0.5,2
913,0,1,455,0.5,0.5,1
914,102,1,456,0.25,0.5,3
916,142,1,457,1.0,0.5,0
917,235,1,458,0.5,0.5,1
926,114,1,459,1.0,0.5,0
927,208,1,460,0.5,0.5,1
929,162,0,460,1.0,0.5,0
930,383,1,461,0.5,0.5,1
932,65,1,462,1.0,0.5,0
933,68,1,463,0.3333333333333333,0.5,2
934,569,1,464,1.0,0.5,0
936,152,1,465,0.2,0.5,4
937,425,0,465,1.0,0.5,0
938,418,1,466,0.5,0.5,1
940,162,1,467,0.5,0.5,1
942,109,1,468,1.0,0.5,0
946,382,1,469,0.5,0.5,1
947,370,1,470,1.0,0.5,0
948,88,1,471,0.3333333333333333,0.5,2
949,636,1,472,0.5,0.5,1
952,66,1,473,1.0,0.5,0
953,535,1,474,0.5,0.5,1
954,202,1,475,0.16666666666666666,0.5,5
956,7,1,476,0.5,0.5,1
958,66,0,476,0.5,0.5,1
959,219,1,477,1.0,0.5,0
960,105,1,478,0.16666666666666666,0.5,5
961,241,1,479,0.25,0.5,3
963,340,0,479,0.3333333333333333,0.5,2
964,353,1,480,0.5,0.5,1
965,7,1,481,0.3333333333333333,0.5,2
966,463,1,482,1.0,0.5,0
967,586,1,483,1.0,0.5,0
968,152,1,484,0.16666666666666666,0.5,5
970,256,1,485,0.3333333333333333,0.5,2
971,103,0,485,0.25,0.5,3
972,660,1,486,1.0,0.5,0
973,109,1,487,0.5,0.5,1
974,11,1,488,0.3333333333333333,0.5,2
978,221,0,488,1.0,0.5,0
980,120,1,489,0.3333333333333333,0.5,2
981,382,1,490,0.3333333333333333,0.5,2
982,220,0,490,0.5,0.5,1
983,161,1,491,0.125,0.5,7
986,492,1,492,1.0,0.5,0
988,388,1,493,0.25,0.5,3
989,296,1,494,1.0,0.5,0
991,214,1,495,0.3333333333333333,0.5,2
992,343,1,496,0.5,0.5,1
994,355,1,497,0.5,0.5,1
995,95,1,498,1.0,0.5,0
996,196,1,499,0.25,0.5,3
997,193,1,500,1.0,0.5,0
998,292,0,500,1.0,0.5,0
1001,700,1,501,1.0,0.5,0
1002,87,1,502,0.5,0.5,1
1003,244,1,503,1.0,0.5,0
1004,466,1,504,0.5,0.5,1
1005,160,1,505,1.0,0.5,0
1006,76,0,505,0.25,0.5,3
1007,370,1,506,0.5,0.5,1
1011,167,1,507,0.5,0.5,1
1012,87,1,508,0.3333333333333333,0.5,2
1013,688,1,509,0.25,0.5,3
1015,306,0,509,0.5,0.5,1
1017,375,1,510,1.0,0.5,0
1018,52,1,511,1.0,0.5,0
1020,509,1,512,1.0,0.5,0
1022,43,1,513,0.3333333333333333,0.5,2
1024,592,1,514,1.0,0.5,0
1025,584,1,515,1.0,0.5,0
1026,111,1,516,0.25,0.5,3
1027,623,0,516,1.0,0.5,0
1028,551,1,517,0.5,0.5,1
1029,371,1,518,0.3333333333333333,0.5,2
1032,154,0,518,0.3333333333333333,0.5,2
1033,276,1,519,0.25,0.5,3
1036,486,0,519,0.3333333333333333,0.5,2
1038,37,1,520,0.5,0.5,1
1039,148,1,521,0.5,0.5,1
1040,414,1,522,0.3333333333333333,0.5,2
1042,199,0,522,0.5,0.5,1
1043,87,1,523,0.25,0.5,3
1044,90,1,524,0.25,0.5,3
1045,158,1,525,0.3333333333333333,0.5,2
1048,22,0,525,0.14285714285714285,0.5,6
1049,88,1,526,0.25,0.5,3
1050,350,1,527,0.5,0.5,1
1053,661,1,528,1.0,0.5,0
1054,88,1,529,0.2,0.5,4
1057,743,1,530,1.0,0.5,0
1058,24,0,530,1.0,0.5,0
1060,129,0,530,1.0,0.5,0
1061,202,1,531,0.14285714285714285,0.5,6
1064,377,1,532,0.16666666666666666,0.5,5
1065,176,1,533,0.3333333333333333,0.5,2
1066,412,1,534,0.5,0.5,1
1067,162,1,535,0.3333333333333333,0.5,2
1068,632,1,536,1.0,0.5,0
1071,200,1,537,0.5,0.5,1
1072,456,1,538,1.0,0.5,0
1073,754,0,538,1.0,0.5,0
1074,640,0,538,0.3333333333333333,0.5,2
1075,386,1,539,0.5,0.5,1
1076,215,0,539,0.5,0.5,1
1077,798,1,540,1.0,0.5,0
1081,244,1,541,0.5,0.5,1
1082,58,1,542,0.5,0.5,1
1083,564,1,543,1.0,0.5,0
1084,305,1,544,0.3333333333333333,0.5,2
1085,63,1,545,0.3333333333333333,0.5,2
1086,12,0,545,0.25,0.5,3
1087,112,0,545,0.5,0.5,1
1088,583,1,546,1.0,0.5,0
1089,217,0,546,0.25,0.5,3
1090,201,1,547,1.0,0.5,0
1091,22,1,548,0.125,0.5,7
1092,69,1,549,0.5,0.5,1
1093,690,1,550,1.0,0.5,0
1094,297,0,550,0.5,0.5,1
1095,40,1,551,1.0,0.5,0
1096,256,1,552,0.25,0.5,3
1097,575,1,553,1.0,0.5,0
1098,773,1,554,0.3333333333333333,0.5,2
1099,394,1,555,1.0,0.5,0
1101,457,1,556,1.0,0.5,0
1103,102,1,557,0.2,0.5,4
1105,234,1,558,0.5,0.5,1
1106,192,0,558,0.5,0.5,1
1107,61,1,559,0.5,0.5,1
1108,234,1,560,0.3333333333333333,0.5,2
1109,20,1,561,0.2,0.5,4
1110,499,0,561,1.0,0.5,0
1111,386,1,562,0.3333333333333333,0.5,2
1112,221,1,563,0.5,0.5,1
1114,161,1,564,0.1111111111111111,0.5,8
1117,276,1,565,0.2,0.5,4
1118,19,1,566,0.5,0.5,1
1119,54,1,567,1.0,0.5,0
1120,25,1,568,1.0,0.5,0
1121,128,1,569,0.5,0.5,1
1122,235,1,570,0.3333333333333333,0.5,2
1123,370,1,571,0.3333333333333333,0.5,2
1125,487,1,572,0.5,0.5,1
1126,102,1,573,0.16666666666666666,0.5,5
1127,291,1,574,0.5,0.5,1
1128,463,1,575,0.5,0.5,1
1129,344,0,575,1.0,0.5,0
1130,13,1,576,0.25,0.5,3
1131,128,1,577,0.3333333333333333,0.5,2
1132,86,1,578,0.16666666666666666,0.5,5
1136,374,1,579,1.0,0.5,0
1137,174,1,580,0.25,0.5,3
1138,320,1,581,1.0,0.5,0
1139,688,1,582,0.2,0.5,4
1140,309,0,582,1.0,0.5,0
1141,179,1,583,1.0,0.5,0
1142,742,1,584,1.0,0.5,0
1143,428,1,585,1.0,0.5,0
1145,235,1,586,0.25,0.5,3
1146,154,1,587,0.25,0.5,3
1147,100,1,588,1.0,0.5,0
1148,217,1,589,0.2,0.5,4
1150,611,1,590,1.0,0.5,0
1151,88,1,591,0.16666666666666666,0.5,5
1152,219,1,592,0.5,0.5,1
1153,21,1,593,1.0,0.5,0
1155,90,1,594,0.2,0.5,4
1156,57,1,595,0.2,0.5,4
1157,222,1,596,0.3333333333333333,0.5,2
1160,36,1,597,1.0,0.5,0
1161,281,1,598,1.0,0.5,0
1162,355,1,599,0.3333333333333333,0.5,2
1164,157,1,600,0.3333333333333333,0.5,2
1166,46,1,601,1.0,0.5,0
1169,130,1,602,0.5,0.5,1
1170,572,1,603,1.0,0.5,0
1172,295,1,604,0.14285714285714285,0.5,6
1173,94,0,604,1.0,0.5,0
1174,240,1,605,1.0,0.5,0
1176,356,1,606,1.0,0.5,0
1177,61,0,606,0.3333333333333333,0.5,2
1179,334,1,607,1.0,0.5,0
1180,296,1,608,0.5,0.5,1
1181,13,1,609,0.2,0.5,4
1182,102,1,610,0.14285714285714285,0.5,6
1184,154,1,611,0.2,0.5,4
1186,161,1,612,0.1,0.5,9
1191,390,1,613,0.5,0.5,1
1192,203,1,614,1.0,0.5,0
1193,120,1,615,0.25,0.5,3
1194,632,1,616,0.5,0.5,1
1195,86,1,617,0.14285714285714285,0.5,6
1196,153,1,618,0.5,0.5,1
1197,134,1,619,1.0,0.5,0
1198,704,1,620,0.3333333333333333,0.5,2
1200,210,1,621,0.5,0.5,1
1202,511,1,622,0.5,0.5,1
1204,382,1,623,0.25,0.5,3
1205,116,1,624,1.0,0.5,0
